1.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
2.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
2.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
2.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
2.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
3.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
3.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
3.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
3.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
3.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
4.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
4.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
4.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
4.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
5.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
5.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
5.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
5.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
5.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
6.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
6.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
6.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
6.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
7.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
7.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
7.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
7.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
7.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
8.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
8.400000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
8.600000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
8.800000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
9.000000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
9.200000000000000000e+05,5.870000000000000000e+06,0.000000000000000000e+00
9.400000000000000000e+05,5.870000000000000000e+06,1.000000000000000000e+00
9.600000000000000000e+05,5.870000000000000000e+06,1.000000000000000000e+00
9.800000000000000000e+05,5.870000000000000000e+06,1.000000000000000000e+00
1.000000000000000000e+06,5.870000000000000000e+06,1.000000000000000000e+00
1.020000000000000000e+06,5.870000000000000000e+06,1.000000000000000000e+00
1.040000000000000000e+06,5.870000000000000000e+06,0.000000000000000000e+00
1.060000000000000000e+06,5.870000000000000000e+06,0.000000000000000000e+00
1.080000000000000000e+06,5.870000000000000000e+06,0.000000000000000000e+00
1.100000000000000000e+06,5.870000000000000000e+06,0.000000000000000000e+00
-1.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
-1.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
-8.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
-6.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
-4.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
-2.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
0.000000000000000000e+00,5.890000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+04,5.890000000000000000e+06,0.000000000000000000e+00
1.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
1.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
1.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
1.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
1.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
2.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
2.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
2.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
2.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
3.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
3.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
3.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
3.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
3.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
4.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
4.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
4.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
4.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
5.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
5.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
5.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
5.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
5.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
6.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
6.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
6.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
6.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
7.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
7.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
7.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
7.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
7.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
8.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
8.400000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
8.600000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
8.800000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
9.000000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
9.200000000000000000e+05,5.890000000000000000e+06,0.000000000000000000e+00
9.400000000000000000e+05,5.890000000000000000e+06,1.000000000000000000e+00
9.600000000000000000e+05,5.890000000000000000e+06,1.000000000000000000e+00
9.800000000000000000e+05,5.890000000000000000e+06,1.000000000000000000e+00
1.000000000000000000e+06,5.890000000000000000e+06,1.000000000000000000e+00
1.020000000000000000e+06,5.890000000000000000e+06,1.000000000000000000e+00
1.040000000000000000e+06,5.890000000000000000e+06,0.000000000000000000e+00
1.060000000000000000e+06,5.890000000000000000e+06,0.000000000000000000e+00
1.080000000000000000e+06,5.890000000000000000e+06,0.000000000000000000e+00
1.100000000000000000e+06,5.890000000000000000e+06,0.000000000000000000e+00
-1.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
-1.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
-8.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
-6.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
-4.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
-2.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
0.000000000000000000e+00,5.910000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+04,5.910000000000000000e+06,0.000000000000000000e+00
1.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
1.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
1.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
1.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
1.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
2.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
2.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
2.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
2.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
3.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
3.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
3.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
3.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
3.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
4.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
4.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
4.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
4.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
5.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
5.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
5.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
5.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
5.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
6.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
6.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
6.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
6.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
7.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
7.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
7.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
7.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
7.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
8.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
8.400000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
8.600000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
8.800000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
9.000000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
9.200000000000000000e+05,5.910000000000000000e+06,0.000000000000000000e+00
9.400000000000000000e+05,5.910000000000000000e+06,1.000000000000000000e+00
9.600000000000000000e+05,5.910000000000000000e+06,1.000000000000000000e+00
9.800000000000000000e+05,5.910000000000000000e+06,1.000000000000000000e+00
1.000000000000000000e+06,5.910000000000000000e+06,1.000000000000000000e+00
1.020000000000000000e+06,5.910000000000000000e+06,1.000000000000000000e+00
1.040000000000000000e+06,5.910000000000000000e+06,0.000000000000000000e+00
1.060000000000000000e+06,5.910000000000000000e+06,0.000000000000000000e+00
1.080000000000000000e+06,5.910000000000000000e+06,0.000000000000000000e+00
1.100000000000000000e+06,5.910000000000000000e+06,0.000000000000000000e+00
-1.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
-1.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
-8.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
-6.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
-4.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
-2.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
0.000000000000000000e+00,5.930000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
8.000000000000000000e+04,5.930000000000000000e+06,0.000000000000000000e+00
1.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
1.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
1.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
1.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
1.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
2.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
2.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
2.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
2.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
2.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
3.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
3.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
3.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
3.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
3.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
4.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
4.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
4.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
4.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
4.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
5.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
5.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
5.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
5.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
5.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
6.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
6.200000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
6.400000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
6.600000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
6.800000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
7.000000000000000000e+05,5.930000000000000000e+06,0.000000000000000000e+00
